ID,REGION,PEOPL,HHINC,AVG_EDU_LVL,AVG_AGE,CHLDRN_LT_20,OTHR_INCM_SRC,RSDNC,NUM_YEARS_US,NUM_IN_ARMY,TOTAL_NUM_JOBS_HHLD,OWNS_HOUSE
13505,5,3,"$94,821",6,44,0,0,0,44,0,3,1
13509,5,1,"$13,200",3,85,0,0,0,85,0,0,0
13511,5,2,"$45,248",8,32,0,0,0,32,0,3,0
13512,5,4,"$78,000",3,33,2,0,0,33,1,2,1
13514,5,2,"$43,928",7,22,0,0,0,22,0,2,0
13528,5,4,"$55,000",9,55,2,0,1,55,1,3,1
13530,5,2,"$76,000",7,36,0,0,0,36,0,2,1
13533,5,2,"$76,600",3,56,0,0,1,56,1,2,1
13534,5,3,"$152,000",8,46,1,0,0,33,0,3,1
13536,5,3,"$7,000",2,32,0,0,0,32,0,1,0
13542,5,3,"$102,365",9,44,1,0,0,44,0,2,1
13547,5,2,"$70,200",3,51,0,0,1,51,0,2,1
13551,5,2,"$117,000",11,65,0,0,0,65,1,2,1
13553,5,2,"$90,000",5,49,0,0,0,49,1,2,1
13555,5,3,"$310,000",8,50,1,0,0,50,0,2,1
13557,5,1,"$6,480",3,59,0,0,0,59,0,0,0
13560,5,5,"$92,000",7,32,3,0,0,32,0,2,1
13561,5,2,"$35,000",8,69,0,0,0,69,1,1,0
13563,5,4,"$48,000",7,34,2,0,0,34,1,3,1
13565,5,2,"$32,000",3,23,0,0,0,23,0,3,0
13569,5,2,"$72,129",6,40,0,0,0,20,0,3,1
13570,5,4,"$165,500",10,43,2,0,0,43,0,2,1
13572,5,4,"$90,000",6,27,1,0,0,27,0,3,1
13574,5,3,"$4,000",5,38,1,0,0,38,0,3,1
13575,5,4,"$62,890",5,40,2,0,0,40,1,2,1
13581,5,2,"$37,647",10,78,0,0,0,78,1,2,0
13582,5,2,"$44,530",6,46,1,0,0,46,0,1,1
13585,5,2,"$86,936",9,53,0,0,0,53,0,2,1
13587,5,4,"$73,600",6,35,2,0,0,16,0,3,0
13589,5,6,"$120,200",7,34,4,0,0,34,0,1,1
13592,5,3,"$48,096",7,51,2,0,0,51,0,1,0
13599,5,3,"$56,606",3,46,0,0,0,46,1,2,1
13601,5,2,"$38,412",6,64,0,0,0,64,0,2,1
13602,5,5,"$43,000",5,29,3,0,0,29,0,2,1
13604,5,2,"$120,000",9,54,0,0,0,54,0,5,1
13605,5,3,"$105,000",3,41,1,0,0,41,0,2,1
13606,5,1,"$40,000",5,29,0,0,0,29,0,1,0
13618,5,2,"$41,020",3,67,0,0,1,68,1,3,1
13619,5,4,"$47,200",6,33,1,0,0,33,0,3,0
13620,5,4,"$57,000",3,34,2,0,0,34,0,2,1
